source_code,source_id,question,choice_a,choice_b,choice_c,choice_d,choice_e,answers,explanation,explanation_url,flags,metadata
pe-14,010,Web servers running on Amazon EC2 access a legacy application running in a corporate data center. <br/> What term would describe this model?,Cloud-native,Partner network,Hybrid architecture,Infrastructure as a service,,['c'],,https://aws.amazon.com/enterprise/hybrid/,,
pe-14,011,"What is the benefit of using AWS managed services, such as Amazon ElastiCache and Amazon Relational Database Service (Amazon RDS)?",They require the customer to monitor and replace failing instances.,They have better performance than customer-managed services.,They simplify patching and updating underlying OSs.,They do not require the customer to optimize instance type or size selections.,,['c'],"- AWS Managed Services takes care of all of your patching and backup activities to help keep your resources current and secure. When updates or patches are released by OS vendors, AWS Managed Services applies them in a timely and consistent manner to minimize the impact on your business",,,
pe-14,012,Which service provides a virtually unlimited amount of online highly durable object storage?,Amazon Redshift,Amazon Elastic File System (Amazon EFS),Amazon Elastic Container Service (Amazon ECS),Amazon S3,,['d'],,https://aws.amazon.com/what-is-cloud-object-storage/,,
pe-14,013,Which of the following Identity and Access Management (IAM) entities is associated with an access key ID and secret access key when using AWS Command Line Interface (AWS CLI)?,IAM group,IAM user,IAM role,IAM policy,,['b'],- Access keys are long-term credentials for an IAM user or the AWS account root user.,,,
pe-14,014,Which of the following security-related services does AWS offer? (Select TWO.),Multi-factor authentication physical tokens,AWS Trusted Advisor security checks,Data encryption,Automated penetration testing,Amazon S3 copyrighted content detection,"['b', 'c']","- Penetration testing is not correct, because it can be done by customers on their own resources.",,,
pe-14,015,Which AWS managed service is used to host databases?,AWS Batch,AWS Artifact,AWS Data Pipeline,Amazon RDS,,['d'],"- Amazon Relational Database Service (Amazon RDS) makes it easy to set up, operate, and scale a relational database in the cloud.",,,
pe-14,016,Which AWS service provides a simple and scalable shared file storage solution for use with Linux-based AWS and on-premises servers?,Amazon S3,Amazon Glacier,Amazon EBS,Amazon EFS,,['d'],"- Amazon Elastic File System (Amazon EFS) provides a simple, scalable, fully managed elastic NFS file system for use with AWS Cloud services and on-premises resources.",,,
pe-14,017,"When architecting cloud applications, which of the following are a key design principle?",Use the largest instance possible,Provision capacity for peak load,Use the Scrum development process,Implement elasticity,,['d'],"- ""Provisioning for peaks"" is a characteristic of a traditional computing environment, per the AWS Best Practices: ""you provision capacity based on an estimate of a theoretical maximum peak.""",,,
pe-14,018,"Which AWS service should be used for long-term, low-cost storage of data backups?",Amazon RDS,Amazon Glacier,AWS Snowball,AWS EBS,,['b'],"- Amazon S3 Glacier is a secure, durable, and low-cost storage class of S3 for data archiving and long-term backup. Customers can store large or small amounts of data for as little as $0.004 per gigabyte per month.",,,
pe-14,019,Which task is AWS responsible for in the shared responsibility model for security and compliance?,Granting access to individuals and services,Encrypting data in transit,Updating Amazon EC2 host firmware,Updating operating systems,,['b'],- AWS Compliance enables customers to establish and operate in an AWS security control environment The shared responsibility model is part of AWS Compliance,,,
pe-14,020,"Where should a company go to search software listings from independent software vendors to find, test, buy and deploy software that runs on AWS?",AWS Marketplace,Amazon Lumberyard,AWS Artifact,Amazon CloudSearch,,['a'],"- AWS Marketplace is a digital catalog with thousands of software listings from independent software vendors that make it easy to find, test, buy, and deploy software that runs on AWS.",,,
pe-14,021,Which of the following is a benefit of using the AWS Cloud?,Permissive security removes the administrative burden.,Ability to focus on revenue-generating activities.,Control over cloud network hardware.,Choice of specific cloud hardware vendors.,,['b'],- Developer and IT staff productivity accounted for nearly 30% of overall financial benefits.,,,
pe-14,022,"When performing a cost analysis that supports physical isolation of a customer workload, which compute hosting model should be accounted for in the Total Cost of Ownership (TCO)?",Dedicated Hosts,Reserved Instances,On-Demand Instances,No Upfront Reserved Instances,,['a'],- Use Dedicated Hosts to launch Amazon EC2 instances on physical servers that are dedicated for your use.,,,
pe-14,023,Which AWS service provides the ability to manage infrastructure as code?,AWS CodePipeline,AWS CodeDeploy,AWS Direct Connect,AWS CloudFormation,,['d'],- AWS CloudFormation provides a common language for you to describe and provision all the infrastructure resources in your cloud environment.,,,
pe-14,024,"If a customer needs to audit the change management of AWS resources, which of the following AWS services should the customer use?",AWS Config,AWS Trusted Advisor,Amazon CloudWatch,Amazon Inspector,,['a'],"- AWS Config is a service that enables you to assess, audit, and evaluate the configurations of your AWS resources.",,,
pe-14,025,What is Amazon CloudWatch?,A code repository with customizable build and team commit features.,A metrics repository with customizable notification thresholds and channels.,A security configuration repository with threat analytics.,A rule repository of a web application firewall with automated vulnerability prevention features.,,['b'],- Amazon CloudWatch is basically a metrics repository.,,,
pe-14,026,Which service allows a company with multiple AWS accounts to combine its usage to obtain volume discounts?,AWS Server Migration Service,AWS Organizations,AWS Budgets,AWS Trusted Advisor,,['b'],- use the consolidated billing feature in AWS Organizations to consolidate billing and payment for multiple AWS accounts or multiple Amazon Internet Services Pvt. Ltd (AISPL) accounts.,,,
pe-14,027,Which of the following services could be used to deploy an application to servers running on-premises? (Select TWO.),AWS Elastic Beanstalk,AWS OpsWorks,AWS CodeDeploy,AWS Batch,AWS X-Ray,"['b', 'c']",,https://docs.aws.amazon.com/codedeploy/latest/userguide/instances-on-premises.html,,
pe-14,028,Which Amazon EC2 pricing model adjusts based on supply and demand of EC2 instances?,On-Demand Instances,Reserved Instances,Spot Instances,Convertible Reserved Instances,,['c'],"- In the new model, the Spot prices are more predictable, updated less frequently, and are determined by supply and demand for Amazon EC2 spare capacity, not bid prices.",,,
pe-14,029,Which design principles for cloud architecture are recommended when re-architecting a large monolithic application? (Select TWO.),Use manual monitoring.,Use fixed servers.,Implement loose coupling.,Rely on individual components.,Design for scalability.,"['c', 'e']",,,,
pe-14,030,Which is the MINIMUM AWS Support plan that allows for one-hour target response time for support cases?,Enterprise,Business,Developer,Basic,,['b'],,https://aws.amazon.com/premiumsupport/plans/,,
pe-14,031,Where can AWS compliance and certification reports be downloaded?,AWS Artifact,AWS Concierge,AWS Certificate Manager,AWS Trusted Advisor,,['a'],"- AWS Artifact is your go-to, central resource for compliance-related information that matters to you.",,,
pe-14,032,Which AWS service provides a customized view of the health of specific AWS services that power a customer's workloads running on AWS?,AWS Service Health Dashboard,AWS X-Ray,AWS Personal Health Dashboard,Amazon CloudWatch,,['c'],,,,
pe-14,033,Which of the following is an advantage of consolidated billing on AWS?,Volume pricing qualification,Shared access permissions,Multiple bills per account,Eliminates the need for tagging,,['a'],"- If you have multiple standalone accounts, your charges might decrease if you add the accounts to an organization.",,,
pe-14,034,Which of the following steps should be taken by a customer when conducting penetration testing on AWS?,"Conduct penetration testing using Amazon Inspector, and then notify AWS support.","Request and wait for approval from the customer's internal security team, and then conduct testing.","Notify AWS support, and then conduct testing immediately.","Request and wait for approval from AWS support, and then conduct testing.",,['d'],- AWS customers are welcome to carry out security assessments or penetration tests against their AWS infrastructure without prior approval for 8 services.,,,
pe-14,035,Which of the following AWS features enables a user to launch a pre-configured Amazon Elastic Compute Cloud (Amazon EC2) instance?,Amazon Elastic Block Store (Amazon EBS),Amazon Machine Image,Amazon EC2 Systems Manager,Amazon AppStream 2.0,,['b'],"- To use Amazon EC2, you simply:",,,
pe-14,036,How would an AWS customer easily apply common access controls to a large set of users?,Apply an IAM policy to an IAM group.,Apply an IAM policy to an IAM role.,Apply the same IAM policy to all IAM users with access to the same workload.,Apply an IAM policy to an Amazon Cognito user pool.,,['a'],"- Instead of defining permissions for individual IAM users, it's usually more convenient to create groups that relate to job functions (administrators, developers, accounting, etc.).",,,
pe-14,037,Which AWS Cost Management tool allows you to view the most granular data about your AWS bill?,AWS Cost Explorer,AWS Budgets,AWS Cost and Usage report,AWS Billing dashboard,,['c'],- The Cost & Usage Report is your one-stop-shop for accessing the most granular data about your AWS costs and usage.,,,
pe-14,038,Which of the following can an AWS customer use to launch a new Amazon Relational Database Service (Amazon RDS) cluster? (Select TWO.),AWS Concierge,AWS CloudFormation,Amazon Simple Storage Service (Amazon S3),Amazon EC2 Auto Scaling,AWS Management Console,"['b', 'e']",,,,
pe-14,039,Which of the following is an AWS Cloud architecture design principle?,Implement single points of failure.,Implement loose coupling.,Implement monolithic design.,Implement vertical scaling.,,['b'],- Loose coupling between services can also be done through asynchronous integration. It involves one component that generates events and another that consumes them.,,,
pe-14,040,Which of the following security measures protect access to an AWS account? (Select TWO.),Enable AWS CloudTrail.,Grant least privilege access to IAM users.,Create one IAM user and share with many developers and users.,Enable Amazon CloudFront.,Activate multi-factor authentication (MFA) for privileged users.,"['b', 'e']","- If you decided to create service accounts (that is, accounts used for programmatic access by applications running outside of the AWS environment) and generate access keys for them, you should create a dedicated service account for each use case.",,,
pe-14,041,Which service provides a hybrid storage service that enables on-premises applications to seamlessly use cloud storage?,Amazon Glacier,AWS Snowball,AWS Storage Gateway,Amazon Elastic Block Storage (Amazon EBS),,['c'],- AWS Storage Gateway is a hybrid cloud storage service that gives you on-premises access to virtually unlimited cloud storage. Customers use Storage Gateway to simplify storage management and reduce costs for key hybrid cloud storage use cases.,,,
pe-14,042,"Which of the following services falls under the responsibility of the customer to maintain operating system configuration, security patching, and networking?",Amazon RDS,Amazon EC2,Amazon ElastiCache,AWS Fargate,,['b'],"- The customer is responsible for managing, support, patching and control of the guest operating system and AWS services provided like EC2.",,,
pe-14,043,Which of the following is an important architectural design principle when designing cloud applications?,Use multiple Availability Zones.,Use tightly coupled components.,Use open source software.,Provision extra capacity.,,['a'],- Data Center resilience is practiced through Availability Zones across data centers that reduce the impact of failures.,,,
pe-14,044,Which AWS support plan includes a dedicated Technical Account Manager?,Developer,Enterprise,Business,Basic,,['b'],- The enterprise support plans supports technical account manager. Developer and business support plans are devoid of this facility.,,,
pe-14,045,Amazon Relational Database Service (Amazon RDS) offers which of the following benefits over traditional database management?,AWS manages the data stored in Amazon RDS tables.,AWS manages the maintenance of the operating system.,AWS automatically scales up instance types on demand.,AWS manages the database type.,,['b'],,,,
pe-14,046,"Which service is best for storing common database query results, which helps to alleviate database access load?",Amazon Machine Learning,Amazon SQS,Amazon ElastiCache,Amazon EC2 Instance Store,,['c'],"- Amazon ElastiCache for Redis is a great choice for implementing a highly available, distributed, and secure in-memory cache to decrease access latency, increase throughput, and ease the load off your relational or NoSQL databases and applications.",,,
pe-14,047,Which of the following is a component of the shared responsibility model managed entirely by AWS?,Patching operating system software,Encrypting data,Enforcing multi-factor authentication,Auditing physical data center assets,,['d'],"- Of course, Amazon is responsible for auditing physical data center assets and resources since it is the property of Amazon Inc. Customers have no access to physical sites, hence they are not responsible for maintaining physical data center assets.",,,
pe-14,048,Which options does AWS make available for customers who want to learn about security in the cloud in an instructor-led setting? (Select TWO.),AWS Trusted Advisor,AWS Online Tech Talks,AWS Blog,AWS Forums,AWS Classroom Training,"['b', 'e']","- AWS Training and Certification builds your competence, confidence, and credibility through practical cloud skills that help you innovate and build your future.",,,
pe-14,049,Which of the following features can be configured through the Amazon Virtual Private Cloud (Amazon VPC) Dashboard? (Select TWO.),Amazon CloudFront distributions,Amazon Route 53,Security Groups,Subnets,Elastic Load Balancing,"['c', 'd']",- Amazon Virtual Private Cloud (Amazon VPC) lets you provision a logically isolated section of the AWS Cloud where you can launch AWS resources in a virtual network that you define.,,,
pe-14,050,"If each department within a company has its own AWS account, what is one way to enable consolidated billing?",Use AWS Budgets on each account to pay only to budget.,Contact AWS Support for a monthly bill.,Create an AWS Organization from the payer account and invite the other accounts to join.,"Put all invoices into one Amazon Simple Storage Service (Amazon S3) bucket, load data into Amazon Redshift, and then run a billing report.",,['c'],,https://docs.aws.amazon.com/awsaccountbilling/latest/aboutv2/consolidated-billing.html,,
pe-15,001,How do customers benefit from Amazon's massive economies of scale?,Periodic price reductions as the result of Amazon's operational efficiencies,New Amazon EC2 instance types providing the latest hardware,The ability to scale up and down when needed,Increased reliability in the underlying hardware of Amazon EC2 instances,,['a'],,,,
pe-15,002,Which AWS services can be used to gather information about AWS account activity? (Select TWO.),Amazon CloudFront,AWS Cloud9,AWS CloudTrail,AWS CloudHSM,Amazon CloudWatch,"['c', 'e']","- AWS offers a solution that uses AWS CloudTrail to log account activity, Amazon Kinesis to compute and stream metrics in real-time, and Amazon DynamoDB to durably store the computed data.",,,
pe-15,003,Which of the following common IT tasks can AWS cover to free up company IT resources? (Select TWO.),Patching databases software,Testing application releases,Backing up databases,Creating database schema,Running penetration tests,"['a', 'c']",,,,
pe-15,004,In which scenario should Amazon EC2 Spot Instances be used?,A company wants to move its main website to AWS from an on-premises web server.,A company has a number of application services whose Service Level Agreement (SLA) requires 99.999% uptime.,A company's heavily used legacy database is currently running on-premises.,"A company has a number of infrequent, interruptible jobs that are currently using On-Demand Instances.",,['d'],,https://docs.aws.amazon.com/whitepapers/latest/cost-optimization-leveraging-ec2-spot-instances/spot-instance-interruptions.html,,
pe-15,005,Which AWS feature should a customer leverage to achieve high availability of an application?,AWS Direct Connect,Availability Zones,Data centers,Amazon Virtual Private Cloud (Amazon VPC),,['b'],- This is to achieve High Availability for any web application (in this case SwiftCode) deployed in AWS.,,,
pe-15,006,Which is the minimum AWS Support plan that includes Infrastructure Event Management without additional costs?,Enterprise,Business,Developer,Basic,,['b'],,https://aws.amazon.com/premiumsupport/plans/,,
pe-15,007,Which AWS service can serve a static website?,Amazon S3,Amazon Route 53,Amazon QuickSight,AWS X-Ray,,['a'],"- You can host a static website on Amazon Simple Storage Service (Amazon S3). On a static website, individual webpages include static content.",,,
pe-15,008,How does AWS shorten the time to provision IT resources?,It supplies an online IT ticketing platform for resource requests.,It supports automatic code validation services.,It provides the ability to programmatically provision existing resources.,It automates the resource request process from a company's IT vendor list.,,['c'],,,,
pe-15,009,What can AWS edge locations be used for? (Select TWO.),Hosting applications,Delivering content closer to users,Running NoSQL database caching services,Reducing traffic on the server by caching responses,Sending notification messages to end users,"['b', 'd']",- CloudFront delivers your content through a worldwide network of data centers called edge locations.,,,
pe-15,010,Which of the following can limit Amazon Simple Storage Service (Amazon S3) bucket access to specific users?,A public and private key-pair,Amazon Inspector,AWS Identity and Access Management (IAM) policies,Security Groups,,['c'],"- To allow users to perform S3 actions on the bucket from the VPC endpoints or IP addresses, you must explicitly grant those user-level permissions.",,,
pe-15,011,"A solution that is able to support growth in users, traffic, or data size with no drop in performance aligns with which cloud architecture principle?",Think parallel,Implement elasticity,Decouple your components,Design for failure,,['b'],,https://d1.awsstatic.com/whitepapers/AWS_Cloud_Best_Practices.pdf,,
pe-15,012,Which of the following tasks is the responsibility of AWS?,Encrypting client-side data,Configuring AWS Identity and Access Management (IAM) roles,Securing the Amazon EC2 hypervisor,Setting user password policies,,['c'],"- In EC2, the AWS IaaS offering, everything from the hypervisor layer down is AWS's responsibility.",,,
pe-15,013,One benefit of On-Demand Amazon Elastic Compute Cloud (Amazon EC2) pricing is:,the ability to bid for a lower hourly cost.,paying a daily rate regardless of time used.,paying only for time used.,pre-paying for instances and paying a lower hourly rate.,,['c'],- On-Demand Capacity Reservations are priced exactly the same as their equivalent (On-Demand) instance usage.,,,
pe-15,014,An administrator needs to rapidly deploy a popular IT solution and start using it immediately. <br/> Where can the administrator find assistance?,AWS Well-Architected Framework documentation,Amazon CloudFront,AWS CodeCommit,AWS Quick Start reference deployments,,['d'],"- Quick Starts are built by AWS solutions architects and partners to help you deploy popular technologies on AWS, based on AWS best practices for security and high availability.",,,
pe-15,015,Which of the following services is in the category of AWS serverless platform?,Amazon EMR,Elastic Load Balancing,AWS Lambda,AWS Mobile Hub,,['c'],- AWS provides a set of fully managed services that you can use to build and run serverless applications.,,,
pe-15,016,Which services are parts of the AWS serverless platform?,"Amazon EC2, Amazon S3, Amazon Athena","Amazon Kinesis, Amazon SQS, Amazon EMR","AWS Step Functions, Amazon DynamoDB, Amazon SNS","Amazon Athena, Amazon Cognito, Amazon EC2",,['c'],- AWS provides a set of fully managed services that you can use to build and run serverless applications.,,,
pe-15,017,"Under the shared responsibility model, which of the following is a shared control between a customer and AWS?",Physical controls,Patch management,Zone security,Data center auditing,,['b'],"- Shared Controls Controls which apply to both the infrastructure layer and customer layers, but in completely separate contexts or perspectives.",,,
pe-15,018,What can AWS edge locations be used for? (Select TWO.),Hosting applications,Delivering content closer to users,Running NoSQL database caching services,Reducing traffic on the server by caching responses,Sending notification messages to end users,"['b', 'd']",- CloudFront delivers your content through a worldwide network of data centers called edge locations.,,,
pe-15,019,What technology enables compute capacity to adjust as loads change?,Load balancing,Automatic failover,Round robin,Auto Scaling,,['d'],"- AWS Auto Scaling monitors your applications and automatically adjusts capacity to maintain steady, predictable performance at the lowest possible cost.",,,
pe-15,020,Which AWS services are defined as global instead of regional? (Select TWO.),Amazon Route 53,Amazon EC2,Amazon S3,Amazon CloudFront,Amazon DynamoDB,"['a', 'd']",,http://jayendrapatil.com/aws-global-vs-regional-vs-az-resources/,,
pe-15,021,Which AWS service would you use to obtain compliance reports and certificates?,AWS Artifact,AWS Lambda,Amazon Inspector,AWS Certificate Manager,,['a'],"- AWS Artifact is your go-to, central resource for compliance-related information that matters to you.",,,
pe-15,022,"Under the shared responsibility model, which of the following tasks are the responsibility of the AWS customer? (Select TWO.)",Ensuring that application data is encrypted at rest,Ensuring that AWS NTP servers are set to the correct time,Ensuring that users have received security training in the use of AWS services,Ensuring that access to data centers is restricted,Ensuring that hardware is disposed of properly,"['a', 'c']",,https://aws.amazon.com/compliance/shared-responsibility-model/,,
pe-15,023,Which AWS service can be used to manually launch instances based on resource requirements?,Amazon EBS,Amazon S3,Amazon EC2,Amazon ECS,,['c'],,,,
pe-15,024,A company is migrating an application that is running non-interruptible workloads for a three-year time frame. <br/> Which pricing construct would provide the MOST cost-effective solution?,Amazon EC2 Spot Instances,Amazon EC2 Dedicated Instances,Amazon EC2 On-Demand Instances,Amazon EC2 Reserved Instances,,['d'],,,,
pe-15,025,The financial benefits of using AWS are: (Select TWO.),reduced Total Cost of Ownership (TCO).,increased capital expenditure (capex).,reduced operational expenditure (opex).,deferred payment plans for startups.,business credit lines for stratups.,"['a', 'c']",,,,
pe-15,026,"Which of the following is entirely the responsibility of AWS, according to the AWS shared responsibility model?",Patching of the guest operating system,Security awareness and training,Physical and environmental controls,Development of an IAM password policy,,['c'],,,,
pe-15,027,Which AWS service allows companies to connect an Amazon VPC to an on-premises data center? (Select TWO),AWS VPN,Amazon Redshift,API Gateway,Amazon Direct Connect,,"['a', 'd']",- AWS Direct Connect enables you to securely connect your AWS environment to your on-premises data center or office location over a standard 1 gigabit or 10 gigabit Ethernet fiber-optic connection.,,,
pe-15,028,A company wants to reduce the physical compute footprint that developers use to run code. <br/> Which service would meet that need by enabling serverless architectures?,Amazon Elastic Compute Cloud (Amazon EC2),AWS Lambda,Amazon DynamoDB,AWS CodeCommit,,['b'],- AWS Lambda is an integral part of coding on AWS. It reduces physical compute footprint by utilizing aws cloud services to run code.,,,
pe-15,029,Which AWS service provides alerts when an AWS event may impact a company's AWS resources?,AWS Personal Health Dashboard,AWS Service Health Dashboard,AWS Trusted Advisor,AWS Infrastructure Event Management,,['a'],- AWS Personal Health Dashboard provides alerts and remediation guidance when AWS is experiencing events that may impact you.,,,
pe-15,030,Which of the following are categories of AWS Trusted Advisor? (Select TWO.),Fault Tolerance,Instance Usage,Infrastructure,Performance,Storage Capacity,"['a', 'd']","- Like your customized cloud expert, AWS Trusted Advisor analyzes your AWS environment and provides best practice recommendations in five categories: cost optimization, performance, security, fault tolerance and service limits.",,,
pe-15,031,"Which of the following services falls under the responsibility of the customer to maintain operating system configuration, security patching, and networking?    - A. Amazon RDS",,Amazon EC2,Amazon ElastiCache,AWS Fargate,,['b'],"- The customer is responsible for managing, support, patching and control of the guest operating system and AWS services provided like EC2.",,,
pe-15,032,A company will be moving from an on-premises data center to the AWS Cloud. <br/> What would be one financial difference after the move?,Moving from variable operational expense (opex) to upfront capital expense (capex).,Moving from upfront capital expense (capex) to variable capital expense (capex).,Moving from upfront capital expense (capex) to variable operational expense (opex).,Elimination of upfront capital expense (capex) and elimination of variable operational expense (opex),,['c'],,,,
pe-15,033,How should a customer forecast the future costs for running a new web application?,Amazon Aurora Backtrack,Amazon CloudWatch Billing Alarms,AWS Simple Monthly Calculator,AWS Cost and Usage report,,['c'],- You can use Cost explorer which is part of Cost and Usage report to forecast future costs of running an application.,,,
pe-15,034,Which is the MINIMUM AWS Support plan that provides technical support through phone calls?,Enterprise,Business,Developer,Basic,,['b'],,https://aws.amazon.com/premiumsupport/plans/,,
pe-15,035,"According to the AWS shared responsibility model, what is the sole responsibility of AWS?",Application security,Edge location management,Patch management,Client-side data,,['b'],"- Client-side data, application security is the sole responsibility of the customer.",,,
pe-15,036,Which AWS IAM feature is used to associate a set of permissions with multiple users?,Multi-factor authentication,Groups,Password policies,Access keys,,['b'],"- An IAM group is a collection of IAM users. You can use groups to specify permissions for a collection of users, which can make those permissions easier to manage for those users.",,,
pe-15,037,Which of the following are benefits of the AWS Cloud? (Choose two.),Unlimited uptime,Elasticity,Agility,Colocation,Capital expenses,"['b', 'c']",- The most celebrated benefit of AWS cloud is elasticity since you can expand the services when you experience more traffic.,,,
pe-15,038,Which of the following can a customer use to enable single sign-on (SSO) to the AWS Console?,Amazon Connect,AWS Directory Service,Amazon Pinpoint,Amazon Rekognition,,['b'],- Single sign-on only works when used on a computer that is joined to the AWS Directory Service directory.,,,
pe-15,039,"What are the multiple, isolated locations within an AWS Region that are connected by low-latency networks called?",AWS Direct Connects,Amazon VPCs,Edge locations,Availability Zones,,['d'],"- Each Region is completely independent. Each Availability Zone is isolated, but the Availability Zones in a Region are connected through low-latency links.",,,
pe-15,040,Which of the following benefits does the AWS Compliance program provide to AWS customers? (Choose two.),It verifies that hosted workloads are automatically compliant with the controls of supported compliance frameworks.,AWS is responsible for the maintenance of common compliance framework documentation.,It assures customers that AWS is maintaining physical security and data protection.,It ensures the use of compliance frameworks that are being used by other cloud providers.,It will adopt new compliance frameworks as they become relevant to customer workloads.,"['a', 'b']",,https://d0.awsstatic.com/whitepapers/compliance/AWS_Risk_and_Compliance_Whitepaper.pdf,,
pe-15,041,Which of the following services provides on-demand access to AWS compliance reports?,AWS IAM,AWS Artifact,Amazon GuardDuty,AWS KMS,,['b'],"- AWS Artifact is your go-to, central resource for compliance-related information that matters to you.",,,
pe-15,042,"As part of the AWS shared responsibility model, which of the following operational controls do users fully inherit from AWS?",Security management of data center,Patch management,Configuration management,User and access management,,['d'],,https://aws.amazon.com/compliance/shared-responsibility-model/,,
pe-15,043,"When comparing AWS Cloud with on-premises Total Cost of Ownership, which expenses must be considered? (Choose two.)",Software development,Project management,Storage hardware,Physical servers,Antivirus software license,"['c', 'd']",,https://aws.amazon.com/blogs/aws/the-new-aws-tco-calculator/,,
pe-15,044,"Under the shared responsibility model, which of the following tasks are the responsibility of the customer? (Choose two.)",Maintaining the underlying Amazon EC2 hardware.,Managing the VPC network access control lists.,Encrypting data in transit and at rest.,Replacing failed hard disk drives.,Deploying hardware in different Availability Zones.,"['b', 'c']",- The hardware related jobs is the prime responsibility of AWS. VPC network access control lists is something a customer has to do himself to secure the applications.,,,
pe-15,045,Which scenarios represent the concept of elasticity on AWS? (Choose two.),Scaling the number of Amazon EC2 instances based on traffic.,Resizing Amazon RDS instances as business needs change.,Automatically directing traffic to less-utilized Amazon EC2 instances.,Using AWS compliance documents to accelerate the compliance process.,Having the ability to create and govern environments using code.,"['a', 'b']",,https://wa.aws.amazon.com/wat.concept.elasticity.en.html,,
pe-15,046,When is it beneficial for a company to use a Spot Instance?,When there is flexibility in when an application needs to run.,When there are mission-critical workloads.,When dedicated capacity is needed.,When an instance should not be stopped.,,['a'],- The key to understanding spot instances is to look at the way that cloud service providers such as Amazon Web Services (AWS) operate.,,,
pe-15,047,A company is considering moving its on-premises data center to AWS. What factors should be included in doing a Total Cost of Ownership (TCO) analysis? (Choose two.),Amazon EC2 instance availability,Power consumption of the data center,Labor costs to replace old servers,Application developer time,Database engine capacity,"['b', 'c']",,,,
pe-15,048,How does AWS charge for AWS Lambda?,Users bid on the maximum price they are willing to pay per hour.,"Users choose a 1-, 3- or 5-year upfront payment term.",Users pay for the required permanent storage on a file system or in a database.,Users pay based on the number of requests and consumed compute resources.,,['d'],"- AWS Lambda is charging its users by the number of requests for their functions and by the duration, which is the time the code needs to execute.",,,
pe-15,049,What function do security groups serve related Amazon Elastic Compute Cloud (Amazon EC2) instance security?,Act as a virtual firewall for the Amazon EC2 instance.,Secure AWS user accounts with AWS identity and Access Management (IAM) policies.,Provide DDoS protection with AWS Shield.,Use Amazon CloudFront to protect the Amazon EC2 instance.,,['a'],- AWS Security Groups act like a firewall for your Amazon EC2 instances controlling both inbound and outbound traffic.,,,
pe-15,050,Which disaster recovery scenario offers the lowest probability of down time?,Backup and restore,Pilot light,Warm standby,Multi-site active-active,,['d'],"- Backup and Restore: a simple, straightforward, cost-effective method that backs up and restores data as needed.",,,
pe-16,001,What will help a company perform a cost benefit analysis of migrating to the AWS Cloud?,Cost Explorer,AWS Total Cost of Ownership (TCO) Calculator,AWS Simple Monthly Calculator,AWS Trusted Advisor,,['b'],- AWS TCO calculators allow you to estimate the cost savings when using AWS and provide a detailed set of reports that can be used in executive presentations.,,,
pe-16,002,Which of the following provides the ability to share the cost benefits of Reserved Instances across AWS accounts?,AWS Cost Explorer between AWS accounts,Linked accounts and consolidated billing,Amazon Elastic Compute Cloud (Amazon EC2) Reserved Instance Utilization Report,Amazon EC2 Instance Usage Report between AWS accounts,,['b'],- The way that Reserved Instance discounts apply to accounts in an organization's consolidated billing family depends on whether Reserved Instance sharing is turned on or off for the account.,,,
pe-16,003,A company has multiple AWS accounts and wants to simplify and consolidate its billing process. <br/>Which AWS service will achieve this?,AWS Cost and Usage Reports,AWS Organizations,AWS Cost Explorer,AWS Budgets,,['b'],- You can use the consolidated billing feature in AWS Organizations to consolidate billing and payment for multiple AWS accounts or multiple Amazon Internet Services Pvt. Ltd (AISPL) accounts.,,,
pe-16,004,A company is designing an application hosted in a single AWS Region serving end-users spread across the world. The company wants to provide the end-users low latency access to the application data. <br/> Which of the following services will help fulfill this requirement?,Amazon CloudFront,AWS Direct Connect,Amazon Route 53 global DNS,Amazon Simple Storage Service (Amazon S3) transfer acceleration,,['a'],"- Amazon CloudFront is a content delivery network (CDN) service that distributes data from multiple locations worldwide, providing low-latency access to end-users.",,,
pe-16,005,Which of the following deployment models enables customers to fully trade their capital IT expenses for operational expenses?,On-premises,Hybrid,Cloud,Platform as a service,,['c'],"- The cloud allows you to trade capital expenses (such as data centers and physical servers) for variable expenses, and only pay for IT as you consume it.",,,
pe-16,006,How is asset management on AWS easier than asset management in a physical data center?,AWS provides a Configuration Management Database that users can maintain.,AWS performs infrastructure discovery scans on the customer's behalf.,Amazon EC2 automatically generates an asset report and places it in the customer's specified Amazon S3 bucket.,Users can gather asset metadata reliably with a few API calls.,,['b'],"- AWS assets are centrally managed through an inventory management system that stores and tracks owner, location, status, maintenance, and descriptive information for AWS-owned assets.",,,
pe-16,007,What feature of Amazon RDS helps to create globally redundant databases?,Snapshots,Automatic patching and updating,Cross-Region read replicas,Provisioned IOPS,,['c'],,https://docs.amazonaws.cn/en_us/AmazonRDS/latest/UserGuide/rds-ug.pdf,,
pe-16,008,Using AWS Identity and Access Management (IAM) to grant access only to the resources needed to perform a task is a concept known as:,restricted access.,as-needed access.,least privilege access.,token access.,,['c'],"- When you create IAM policies, follow the standard security advice of granting least privilege, or granting only the permissions required to perform a task.",,,
pe-16,009,Which methods can be used to identify AWS costs by departments? (Choose two.),Enable multi-factor authentication for the AWS account root user.,Create separate accounts for each department.,Use Reserved Instances whenever possible.,Use tags to associate each instance with a particular department.,Pay bills using purchase orders.,"['b', 'd']",- Tags are key-value pairs that allow you to organize your AWS resources into groups. You can use tags to:,,,
